Gen A	Gen B	Winner	Strength
hsa:8325	hsa:8313	Gen A	70
hsa:8325	hsa:1499	Gen A	52
hsa:8325	hsa:51176	Gen A	86
hsa:8325	hsa:6932	Gen A	86
hsa:8325	hsa:6934	Gen A	86
hsa:8325	hsa:83439	Gen A	86
hsa:8325	hsa:122011	Gen A	80
hsa:8325	hsa:1452	Gen A	80
hsa:8325	hsa:10297	Gen A	70
hsa:8325	hsa:324	Gen A	70
hsa:8325	hsa:10000	Gen A	100
hsa:8325	hsa:207	Gen A	100
hsa:8325	hsa:208	Gen A	100
hsa:8325	hsa:2475	Gen A	106
hsa:8325	hsa:3480	Gen A	64
hsa:8325	hsa:3479	Gen A	62
